# EV Charging System - Audit Log
# Format: TIMESTAMP | IP_ADDRESS | ENTITY | EVENT_TYPE | PARAMETERS
#====================================================================================================
2026-01-09T21:50:17.023986 | 172.18.0.9 | DRIVER-001 | CHARGE_REQUESTED | cp=CP-001, kwh=10.0
2026-01-09T21:50:17.044140 | 172.18.0.8 | CP-001 | CHARGE_AUTHORIZED | driver=DRIVER-001, kwh=10.0
2026-01-09T21:50:36.372700 | 172.18.0.8 | CP-001 | CHARGE_COMPLETED | driver=DRIVER-001, total_kwh=10.0, total_amount=5.0€, duration=0s
2026-01-09T21:50:43.116955 | 172.18.0.9 | DRIVER-001 | CHARGE_REQUESTED | cp=CP-002, kwh=10.0
2026-01-09T21:50:43.190760 | 172.18.0.11 | CP-002 | CHARGE_AUTHORIZED | driver=DRIVER-001, kwh=10.0
2026-01-09T21:51:02.918378 | 172.18.0.11 | CP-002 | CHARGE_COMPLETED | driver=DRIVER-001, total_kwh=10.0, total_amount=5.0€, duration=0s
2026-01-10T11:39:14.726198 | 172.18.0.12 | DRIVER-001 | CHARGE_REQUESTED | cp=CP-001, kwh=15.0
2026-01-10T11:39:14.755593 | 172.18.0.12 | CP-001 | CHARGE_AUTHORIZED | driver=DRIVER-001, kwh=15.0
2026-01-10T11:39:35.139545 | 172.18.0.12 | CP-001 | CHARGE_COMPLETED | driver=DRIVER-001, total_kwh=15.0, total_amount=7.5€, duration=19s
2026-01-10T11:39:46.602938 | 172.18.0.12 | DRIVER-TEST | CHARGE_REQUESTED | cp=CP-001, kwh=10.0
2026-01-10T13:00:10.255096 | 172.18.0.14 | CP-001 | AUTHENTICATION_SUCCESS | username=cp_user_7047a9c5
2026-01-10T13:00:37.274770 | 172.18.0.15 | CP-002 | AUTHENTICATION_SUCCESS | username=cp_user_7f36d0c6
2026-01-10T13:07:44.336126 | 172.18.0.8 | DRIVER-001 | CHARGE_REQUESTED | cp=CP-001, kwh=10.0
2026-01-10T13:07:44.363578 | 172.18.0.8 | CP-001 | CHARGE_AUTHORIZED | driver=DRIVER-001, kwh=10.0
2026-01-10T13:08:11.735783 | 172.18.0.8 | CP-001 | CHARGE_COMPLETED | driver=DRIVER-001, total_kwh=10.0, total_amount=3.0€, duration=27s
2026-01-10T13:08:20.815433 | 172.18.0.8 |  | CHARGE_REQUESTED | cp=CP-001, kwh=10.0
2026-01-10T15:44:59.516168 | 172.18.0.13 | CP-001 | AUTHENTICATION_SUCCESS | username=cp_user_7047a9c5
2026-01-10T15:45:14.816180 | 172.18.0.15 | CP-002 | AUTHENTICATION_SUCCESS | username=cp_user_7f36d0c6
2026-01-10T15:46:28.424265 | 172.18.0.12 | DRIVER-001 | CHARGE_REQUESTED | cp=CP-001, kwh=10.0
2026-01-10T15:46:28.560584 | 172.18.0.12 | CP-001 | CHARGE_AUTHORIZED | driver=DRIVER-001, kwh=10.0
